Id,UserId,Name,Date,Class,TagBased
1,5,Teacher,2010-07-19T19:39:07.047,3,False
2,6,Teacher,2010-07-19T19:39:07.220,3,False
3,8,Teacher,2010-07-19T19:39:07.330,3,False
4,23,Teacher,2010-07-19T19:39:07.437,3,False
5,36,Teacher,2010-07-19T19:39:07.593,3,False
6,37,Teacher,2010-07-19T19:39:07.687,3,False
7,50,Teacher,2010-07-19T19:39:07.720,3,False
8,55,Teacher,2010-07-19T19:39:07.780,3,False
9,5,Student,2010-07-19T19:39:07.890,3,False
10,8,Student,2010-07-19T19:39:07.937,3,False
11,13,Student,2010-07-19T19:39:08.000,3,False
12,18,Student,2010-07-19T19:39:08.030,3,False
13,23,Student,2010-07-19T19:39:08.093,3,False
14,24,Student,2010-07-19T19:39:08.187,3,False
16,59,Student,2010-07-19T19:39:08.390,3,False
17,66,Student,2010-07-19T19:39:08.547,3,False
18,69,Student,2010-07-19T19:39:08.623,3,False
19,75,Student,2010-07-19T19:39:08.670,3,False
20,13,Editor,2010-07-19T19:39:08.797,3,False
21,23,Editor,2010-07-19T19:39:08.857,3,False
22,6,Organizer,2010-07-19T19:39:08.920,3,False
23,60,Organizer,2010-07-19T19:39:08.937,3,False
24,80,Organizer,2010-07-19T19:39:08.997,3,False
25,6,Supporter,2010-07-19T19:39:09.090,3,False
26,22,Supporter,2010-07-19T19:39:09.090,3,False
27,23,Supporter,2010-07-19T19:39:09.107,3,False
28,24,Supporter,2010-07-19T19:39:09.107,3,False
29,41,Supporter,2010-07-19T19:39:09.107,3,False
31,50,Supporter,2010-07-19T19:39:09.123,3,False
32,55,Supporter,2010-07-19T19:39:09.123,3,False
33,57,Supporter,2010-07-19T19:39:09.123,3,False
34,59,Supporter,2010-07-19T19:39:09.123,3,False
35,62,Supporter,2010-07-19T19:39:09.140,3,False
37,64,Supporter,2010-07-19T19:39:09.140,3,False
38,66,Supporter,2010-07-19T19:39:09.140,3,False
39,69,Supporter,2010-07-19T19:39:09.153,3,False
40,71,Supporter,2010-07-19T19:39:09.153,3,False
41,76,Supporter,2010-07-19T19:39:09.153,3,False
42,77,Supporter,2010-07-19T19:39:09.153,3,False
43,78,Supporter,2010-07-19T19:39:09.153,3,False
44,80,Supporter,2010-07-19T19:39:09.170,3,False
45,81,Supporter,2010-07-19T19:39:09.170,3,False
47,23,Critic,2010-07-19T19:39:09.200,3,False
48,60,Critic,2010-07-19T19:39:09.217,3,False
49,61,Critic,2010-07-19T19:39:09.247,3,False
50,74,Critic,2010-07-19T19:39:09.280,3,False
51,2,Autobiographer,2010-07-19T19:39:09.420,3,False
52,3,Autobiographer,2010-07-19T19:39:09.467,3,False
53,7,Autobiographer,2010-07-19T19:39:09.497,3,False
54,8,Autobiographer,2010-07-19T19:39:09.560,3,False
55,10,Autobiographer,2010-07-19T19:39:09.607,3,False
56,11,Autobiographer,2010-07-19T19:39:09.623,3,False
57,12,Autobiographer,2010-07-19T19:39:09.623,3,False
58,13,Autobiographer,2010-07-19T19:39:09.670,3,False
60,18,Autobiographer,2010-07-19T19:39:09.810,3,False
61,19,Autobiographer,2010-07-19T19:39:09.857,3,False
62,27,Autobiographer,2010-07-19T19:39:09.903,3,False
63,29,Autobiographer,2010-07-19T19:39:09.980,3,False
64,38,Autobiographer,2010-07-19T19:39:10.027,3,False
65,39,Autobiographer,2010-07-19T19:39:10.043,3,False
66,40,Autobiographer,2010-07-19T19:39:10.120,3,False
